ad_id,ad_name,effective_status,campaign_id,creative_id,media_type,object_type,local_path,frames_dir,sha256,video_id,has_video_file,has_thumbnail
120237608314220476,WL379_13kgComVoy_VAR4_January_BR_VID_FB_PartnershipAd_ContentCreator_Zanda_In-house_Process_NA_Informative_SpecificValueProp_Ease_ImprovedHealth_UGC-Influencer,PAUSED,120237266447660476,2793268261020263,video,VIDEO,creatives_output/images/120237608314220476_WL379_13kgComVoy_VAR4_January_BR_VID_FB_PartnershipAd_ContentCreator_Zanda_In-house_Process_NA_Informative_SpecificValueProp_Ease_ImprovedHealth_UGC-I_thumb.jpg,creatives_output/frames/120237608314220476,6acf94d9f480214cddf770c42c6f0ef1f6d1ac2906192aefd13822e7eb35fad2,4151523091658223,False,True
120237575846270476,WL401_ADS01_VAR1_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel,PAUSED,120237266447660476,2086650792127749,video,VIDEO,creatives_output/images/120237575846270476_WL401_ADS01_VAR1_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel_thumb.jpg,creatives_output/frames/120237575846270476,036c75e3a177f66820c881ffb5b2a339ff40a209e6f45400163a0a19b65fe0e1,25645677938415812,False,True
120237575846280476,WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel,PAUSED,120237266447660476,1333079398588646,video,VIDEO,creatives_output/images/120237575846280476_WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel_thumb.jpg,creatives_output/frames/120237575846280476,b8a7448b4b28b883199e26715126fd39bf4174c380c0819d6b15a01cb5c0a165,1427113415703195,False,True
120237267146520476,WL350_GerenciarTodaSuaJornada_VAR1_December_BR_VID_FB_PartnershipAd_ContentCreator_BiaRelva_CreatorMade_Process_NA_Informative_Medication_Affordability_ImprovedQualityOfLife_UGC-Influencer,PAUSED,120237266447660476,1972143136992900,video,VIDEO,creatives_output/images/120237267146520476_WL350_GerenciarTodaSuaJornada_VAR1_December_BR_VID_FB_PartnershipAd_ContentCreator_BiaRelva_CreatorMade_Process_NA_Informative_Medication_Affordabilit_thumb.jpg,creatives_output/frames/120237267146520476,4b589019eeab2e44af3184f5a7386fc01674807df43a54fe926befff26bb6505,2036779807113247,False,True
120237473436640476,WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel,PAUSED,120237266447660476,863436043236822,video,VIDEO,creatives_output/images/120237473436640476_WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel_thumb.jpg,creatives_output/frames/120237473436640476,b8a7448b4b28b883199e26715126fd39bf4174c380c0819d6b15a01cb5c0a165,804005559328637,False,True
120237266447640476,WL310_NutriIncluso_VAR2_December_BR_VID_FB_PartnershipAd_ContentCreator_BetaBoechat_CreatorMade_Confidence_NA_Emotional_Testimonial_Care_ImprovedQualityOfLife_UGC-Influencer,PAUSED,120237266447660476,845877214878542,video,VIDEO,creatives_output/images/120237266447640476_WL310_NutriIncluso_VAR2_December_BR_VID_FB_PartnershipAd_ContentCreator_BetaBoechat_CreatorMade_Confidence_NA_Emotional_Testimonial_Care_ImprovedQuali_thumb.jpg,creatives_output/frames/120237266447640476,54a2172ec65343e2d141f0793f72933de45805d7cb8c1c263fdcb3ef48b1863a,1534680224448780,False,True
120237534967490476,WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel,ADSET_PAUSED,120237266447660476,1333079398588646,video,VIDEO,creatives_output/images/120237534967490476_WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel_thumb.jpg,creatives_output/frames/120237534967490476,b8a7448b4b28b883199e26715126fd39bf4174c380c0819d6b15a01cb5c0a165,1427113415703195,False,True
120237534967370476,WL401_ADS01_VAR1_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel,ADSET_PAUSED,120237266447660476,2086650792127749,video,VIDEO,creatives_output/images/120237534967370476_WL401_ADS01_VAR1_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel_thumb.jpg,creatives_output/frames/120237534967370476,036c75e3a177f66820c881ffb5b2a339ff40a209e6f45400163a0a19b65fe0e1,25645677938415812,False,True
120237447641750476,WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA,ADSET_PAUSED,120237266447660476,1427573392070259,video,VIDEO,creatives_output/images/120237447641750476_WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_thumb.jpg,creatives_output/frames/120237447641750476,b8a7448b4b28b883199e26715126fd39bf4174c380c0819d6b15a01cb5c0a165,837552559284832,False,True
120237447641810476,WL401_ADS01_VAR1_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA,ADSET_PAUSED,120237266447660476,1430301291994346,video,VIDEO,creatives_output/images/120237447641810476_WL401_ADS01_VAR1_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_thumb.jpg,creatives_output/frames/120237447641810476,036c75e3a177f66820c881ffb5b2a339ff40a209e6f45400163a0a19b65fe0e1,1576890006683334,False,True
