ad_id,ad_name_std,campaign_id,campaign_name_std,adset_name_std,effective_status,media_type,object_type,creative_id,impressions_std,clicks_std,spend_std,link_clicks_std,ctr,cpm_calc,cpc_calc,hook_rate,video_p25,video_p50,video_p75,video_p100,retention_25_to_50,retention_50_to_75,retention_75_to_100,lpv_inc,custom_event_inc,inc_initiate_checkout,inc_purchase,purchase_std,connect_rate,bounce_rate,cac,cost_per_checkout,cpp_std,performance_score,pause_reason,is_top5,w_ctr,w_connect_rate,w_bounce_rate,w_cost_per_checkout,w_cac,w_hook_rate,created_dt
120237292552170476,WL400_ADS-9-1_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Product_NA,120237266447660476,Voy_WL_Acquisition,WL_Testing_New_18_54_W&M_SUL_SUDESTE,ADSET_PAUSED,image,SHARE,1444913050539767,10735,62,333.41,33.0,0.0057755006986492784,31.05822077317187,5.377580645161291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,11.0,0.0,0.0,0.6363636363636364,0.9047619047619048,0.0,30.310000000000002,inf,3.39,,False,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-10 12:37:09-03:00
120237292552180476,WL400_ADS18_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Product_NA,120237266447660476,Voy_WL_Acquisition,WL_Testing_New_18_54_W&M_SUL_SUDESTE,ADSET_PAUSED,image,SHARE,843089768358050,99915,619,2025.11,305.0,0.006195265976079668,20.268328078867036,3.2715831987075927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,225.0,78.0,4.0,4.0,0.7213114754098361,1.0227272727272727,506.2775,25.962948717948716,506.2775,6.23,,False,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-10 12:37:09-03:00
120237447400730476,WL400_ADS-20_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Product_NA,120237266447660476,Voy_WL_Acquisition,WL_Testing_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,979222305272096,1663899,7746,33031.11,5281.0,0.004655330642064212,19.851631619467287,4.264279628195197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3663.0,2492.0,663.0,48.0,48.0,0.6936186328346904,0.6803166803166804,688.148125,49.82067873303168,688.148125,4.66,,False,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-14 18:57:33-03:00
120237447400740476,WL400_ADS-21_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Product_NA,120237266447660476,Voy_WL_Acquisition,WL_Testing_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1644935750247059,340883,1787,7553.58,1243.0,0.005242267874901359,22.158863891716514,4.226961387800784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,571.0,132.0,9.0,9.0,0.7538213998390989,0.6093916755602988,839.2866666666666,57.22409090909091,839.2866666666666,3.9,,False,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-14 18:57:32-03:00
120237447641750476,WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA,120237266447660476,Voy_WL_Acquisition,WL_Testing_Stories_New_18_54_W&M_SUL_SUDESTE,ADSET_PAUSED,video,VIDEO,1427573392070259,117681,2083,2334.75,1097.0,0.017700393436493572,19.839651260611312,1.120859337493999,0.8880617941723813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0,366.0,81.0,9.0,9.0,0.7985414767547858,0.4178082191780822,259.4166666666667,28.824074074074073,259.4166666666667,7.15,,False,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-14 18:57:25-03:00
120237447641810476,WL401_ADS01_VAR1_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA,120237266447660476,Voy_WL_Acquisition,WL_Testing_Stories_New_18_54_W&M_SUL_SUDESTE,ADSET_PAUSED,video,VIDEO,1430301291994346,49532,683,1066.94,293.0,0.013789065654526367,21.540418315432447,1.5621376281112738,0.8613421626423322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,123.0,27.0,3.0,3.0,0.6757679180887372,0.6212121212121212,355.6466666666667,39.5162962962963,355.6466666666667,6.77,,False,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-14 18:57:25-03:00
120237473436630476,WL401_ADS01_VAR1_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel,120237266447660476,Voy_WL_Acquisition,WL_Testing_25_65+_W&M_SUL_SUDESTE,PAUSED,video,VIDEO,1390392112797609,270088,5988,6053.33,3334.0,0.02217055182014751,22.412435946802525,1.0109101536406147,0.8131608957080655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2451.0,637.0,122.0,6.0,6.0,0.7351529694061187,0.2598939208486332,1008.8883333333333,49.61745901639344,1008.8883333333333,3.78,,False,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-15 13:32:49-03:00
120237473436640476,WL401_ADS01_VAR2_January_BR_VID_FB_Normal_NA_Actor_Striker_Product_NA_Abravanel,120237266447660476,Voy_WL_Acquisition,WL_Testing_25_65+_W&M_SUL_SUDESTE,PAUSED,video,VIDEO,863436043236822,884976,26514,18182.75,14848.0,0.02996013451212236,20.546037406664137,0.685779210982877,0.8304439894415215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12289.0,2978.0,325.0,18.0,18.0,0.8276535560344828,0.24233053950687608,1010.1527777777778,55.94692307692308,1010.1527777777778,3.89,,False,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-15 13:32:49-03:00
120237473558210476,WL229_AnteseDepois29kg_VAR4_November_BR_IMG_FB_Normal_Customer_NoActor_In-house_Results_NA_Urgency_BeforeAfter_Efficacy_ImprovedQualityOfLife_UGC-Anchor_new,120237266447660476,Voy_WL_Acquisition,WL_Testing_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,1092804312904761,331550,2517,6307.74,1840.0,0.0075916151410043735,19.02500377017041,2.5060548271752086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,453.0,121.0,10.0,10.0,0.658695652173913,0.37376237623762376,630.774,52.1300826446281,630.774,4.48,,False,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-15 13:32:49-03:00
120237473611140476,WL233_AnteseDepois21kg_VAR4_November_BR_IMG_FB_Normal_Customer_NoActor_In-house_Results_NA_Urgency_BeforeAfter_Efficacy_ImprovedQualityOfLife_UGC-Anchor_new,120237266447660476,Voy_WL_Acquisition,WL_Testing_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,876996898312839,97352,630,2741.71,461.0,0.006471361656668584,28.162852329690196,4.351920634920635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,165.0,48.0,6.0,6.0,0.6616052060737527,0.5409836065573771,456.95166666666665,57.11895833333333,456.95166666666665,5.29,,True,1.2134590791403144,0.26600475902895465,2.115041617003013,2.1733481105222574,3.672826469567044,0.5593199647384182,2026-01-15 13:32:49-03:00
