campaign_name_std,adset_name_std,ad_name_std,ad_id,effective_status,created_dt,impressions_std,clicks_std,spend_std,purchase_std,cpp_std,lpv_inc,custom_event_inc,inc_initiate_checkout,inc_purchase,ctr,connect_rate,bounce_rate,cost_per_checkout,cac,performance_score,w_ctr,w_connect_rate,w_bounce_rate,w_cost_per_checkout,w_cac,run_at
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL267_LIDIASANTOSDEZ1_VAR1_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080830670,ACTIVE,2025-12-08 13:30:07-03:00,32136,712,1100.29,0.0,inf,165.0,72.0,9.0,0.0,0.022155837689818273,0.6395348837209303,0.43636363636363634,122.25444444444445,0.0,1.23,1.0211892204091118,1.5556059218647107,0.3169272183048813,0.5939404654891549,6.512337173932141,2026-01-05T09-58-08Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL288_PAMFRISONDEZ1_VAR5_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080840670,ACTIVE,2025-12-08 13:29:59-03:00,575345,4574,13124.64,42.0,312.49142857142857,2159.0,1792.0,487.0,42.0,0.007950012601134971,0.7358554873892297,0.8300138953219083,26.949979466119096,312.49142857142857,7.7,1.0211892204091118,1.5556059218647107,0.3169272183048813,0.5939404654891549,6.512337173932141,2026-01-05T09-58-08Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL265_TACIARADEZ1_VAR2_NA_BR_VID_FB_Normal_ContentCreator_TACIARADEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080850670,PAUSED,2025-12-08 13:30:14-03:00,28326,1000,236.26,1.0,236.26,575.0,42.0,14.0,1.0,0.03530325496010732,0.8543833580980683,0.07304347826086957,16.875714285714285,236.26,,,,,,,2026-01-05T09-58-08Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL264_TACIARADEZ1_VAR1_NA_BR_VID_FB_Normal_ContentCreator_TACIARADEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080860670,PAUSED,2025-12-08 13:30:03-03:00,277160,17262,6234.34,6.0,1039.0566666666666,2229.0,492.0,153.0,6.0,0.06228171453312166,0.4908610438229465,0.22072678331090176,40.747320261437906,1039.0566666666666,,,,,,,2026-01-05T09-58-08Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL268_LIDIASANTOSDEZ1_VAR2_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080870670,PAUSED,2025-12-08 13:30:14-03:00,13914,567,529.23,1.0,529.23,85.0,39.0,9.0,1.0,0.0407503234152652,0.5743243243243243,0.4588235294117647,58.803333333333335,529.23,,,,,,,2026-01-05T09-58-08Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL285_PAMFRISONDEZ1_VAR2_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080880670,PAUSED,2025-12-08 13:30:11-03:00,785,45,17.79,0.0,inf,8.0,4.0,1.0,0.0,0.05732484076433121,0.4444444444444444,0.5,17.79,0.0,,,,,,,2026-01-05T09-58-08Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL266_TACIARADEZ1_VAR3_NA_BR_VID_FB_Normal_ContentCreator_TACIARADEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080890670,ACTIVE,2025-12-08 13:30:17-03:00,183516,1280,5133.51,12.0,427.7925,652.0,320.0,92.0,12.0,0.006974868676300704,0.6742502585315409,0.49079754601226994,55.79902173913044,427.7925,5.64,1.0211892204091118,1.5556059218647107,0.3169272183048813,0.5939404654891549,6.512337173932141,2026-01-05T09-58-08Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL286_PAMFRISONDEZ1_VAR3_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080900670,PAUSED,2025-12-08 13:30:11-03:00,914,19,42.26,0.0,inf,12.0,3.0,2.0,0.0,0.020787746170678335,0.8571428571428571,0.25,21.13,0.0,,,,,,,2026-01-05T09-58-08Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL269_LIDIASANTOSDEZ1_VAR3_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080910670,PAUSED,2025-12-08 13:30:17-03:00,130,5,6.41,0.0,inf,3.0,0.0,0.0,0.0,0.038461538461538464,0.6,0.0,0.0,0.0,,,,,,,2026-01-05T09-58-08Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL270_LIDIASANTOSDEZ1_VAR4_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080920670,PAUSED,2025-12-08 13:30:03-03:00,228,14,11.64,0.0,inf,2.0,0.0,0.0,0.0,0.06140350877192982,0.5,0.0,0.0,0.0,,,,,,,2026-01-05T09-58-08Z
