ad_id,ad_name_std,campaign_id,campaign_name_std,adset_name_std,effective_status,media_type,object_type,creative_id,impressions_std,clicks_std,spend_std,link_clicks_std,ctr,cpm_calc,cpc_calc,hook_rate,video_p25,video_p50,video_p75,video_p100,retention_25_to_50,retention_50_to_75,retention_75_to_100,lpv_inc,questionnaire_started_inc,inc_initiate_checkout,inc_purchase,purchase_std,connect_rate,bounce_rate,cac,cost_per_checkout,cpp_std,performance_score,pause_reason,is_top5,w_ctr,w_connect_rate,w_bounce_rate,w_cost_per_checkout,w_cac,w_hook_rate,created_dt
120237704962430476,WL400_23kgEm1Ano_VAR2_January_BR_IMG_FB_Normal_NA_Nathalie_Striker_Product_NA,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1469630311459977,192270,9366,2829.18,1824.0,0.048712747698548914,14.714620065532845,0.3020691864189622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,14.0,1.0,1.0,0.375,0.0,2829.18,202.0842857142857,2829.18,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 18:51:54-03:00
120237705410940476,WL402_MembrosdaVoy_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Results_NA_Informative_ResearchFactBased_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,816805881408100,49514,730,1353.1,645.0,0.014743304923859918,27.327624510239527,1.8535616438356164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,0.0,16.0,2.0,2.0,0.6914728682170542,0.0,676.55,84.56875,676.55,8.26,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 19:16:42-03:00
120237705414500476,WL400_ADS18_VAR3_January_BR_IMG_FB_Normal_NA_Nathalie_Striker_Product_NA,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1597375831276683,185438,1454,2183.98,1020.0,0.007840895609314164,11.777413475123762,1.5020495185694636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,0.0,23.0,2.0,2.0,0.6264705882352941,0.0,1091.99,94.95565217391304,1091.99,6.66,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 19:16:42-03:00
120237705507990476,WL403_ResultadosqueRefletem_VAR2_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Results_NA_Informative_SpecificValueProp_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,896060369548262,26384,586,612.25,626.0,0.02221043056397817,23.205351728320196,1.0447952218430034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,1.0,0.0,0.0,0.7108626198083067,0.0,0.0,612.25,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 19:39:33-03:00
120237705838970476,WL404_Rebeca16kg_VAR1_January_BR_IMG_FB_Normal_ContentCreator_Rebeca_Striker_Results_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,883529234299787,39871,408,1396.53,350.0,0.010233001429610493,35.026209525720446,3.4228676470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,10.0,0.0,0.0,0.6942857142857143,0.0,0.0,139.653,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 19:53:46-03:00
120237705878220476,WL405_TucaComplicado_VAR1_January_BR_IMG_FB_Normal_Expert_Tuca_Striker_Confidence_NA_Informative_SpecificValueProp_Ease_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1677543066567228,24717,271,659.65,249.0,0.010964113767852085,26.688109398389773,2.434132841328413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,4.0,1.0,1.0,0.6666666666666666,0.0,659.65,164.9125,659.65,8.32,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:03:28-03:00
120237706034790476,WL406_15kg3mesesAbravanel_VAR3_January_BR_IMG_FB_Normal_ContentCreator_TiagoAbravanel_Striker_Results_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,2673538336340221,96522,744,2494.99,576.0,0.007708087275439796,25.848925633534325,3.3534811827956985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,21.0,2.0,2.0,0.7378472222222222,0.0,1247.495,118.8090476190476,1247.495,6.07,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:08:52-03:00
120237706232320476,WL406_15kg3mesesAbravanel_VAR4_January_BR_IMG_FB_Normal_ContentCreator_TiagoAbravanel_Striker_Results_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1395341149046749,40062,257,1121.78,229.0,0.006415056662173631,28.00109829763866,4.364902723735408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,6.0,1.0,1.0,0.6681222707423581,0.0,1121.78,186.96333333333334,1121.78,6.55,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:12:14-03:00
120237706259320476,WL406_AmandaComplicado_VAR1_January_BR_IMG_FB_Normal_Expert_AmandaMineiro_Striker_Confidence_NA_Informative_SpecificValueProp_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,33358572180457282,25683,674,652.81,709.0,0.02624304014328544,25.4179807654869,0.968560830860534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,0.0,5.0,0.0,0.0,0.6741889985895627,0.0,0.0,130.56199999999998,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:17:51-03:00
120237706324620476,WL406_AmandaComplicado_VAR2_January_BR_IMG_FB_Normal_Expert_AmandaMineiro_Striker_Confidence_NA_Informative_SpecificValueProp_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,2616215692106498,30861,384,895.46,353.0,0.01244288908330903,29.015910048281,2.3319270833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,5.0,0.0,0.0,0.6373937677053825,0.0,0.0,179.092,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:21:56-03:00
120237706346290476,WL407_Rebeca16kg_VAR1_January_BR_IMG_FB_Normal_Customer_Rebeca_Striker_Results_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_StaticPolished-Customer,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1531180371295270,120401,1171,3129.34,902.0,0.009725832841919918,25.990980141360954,2.6723654995730146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,0.0,33.0,3.0,3.0,0.6463414634146342,0.0,1043.1133333333335,94.82848484848485,1043.1133333333335,6.85,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:27:07-03:00
120237706412640476,WL408_ComSegurança2026_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Product_NA_Informative_Medication_Efficacy_ImprovedHealth_StaticScrappy,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,3906432609487104,106948,750,3439.1,540.0,0.007012753861689793,32.15674907431649,4.585466666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,46.0,3.0,3.0,0.7814814814814814,0.0,1146.3666666666666,74.76304347826087,1146.3666666666666,6.46,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:30:25-03:00
120237706620390476,WL407_Rebeca16kg_VAR2_January_BR_IMG_FB_Normal_Customer_Rebeca_Striker_Results_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_StaticPolished-Customer,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,749911207732143,81050,5345,1171.08,1001.0,0.06594694632942628,14.448858729179518,0.2190982226379794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,17.0,1.0,1.0,0.3106893106893107,0.0,1171.08,68.8870588235294,1171.08,6.36,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:31:48-03:00
120237706763790476,WL400_23kgEm1Ano_VAR3_January_BR_IMG_FB_Normal_NA_Nathalie_Striker_Product_NA,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1926254974593698,67276,890,1401.47,800.0,0.013229086152565551,20.831648730602296,1.574685393258427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0,11.0,0.0,0.0,0.5675,0.0,0.0,127.40636363636364,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:34:32-03:00
120237706841530476,WL408_ComSegurança2026_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Product_NA_Informative_Medication_Efficacy_ImprovedHealth_StaticScrappy,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1208191558104688,45681,729,1248.66,377.0,0.015958494779010967,27.33434031654298,1.7128395061728396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,12.0,1.0,1.0,0.5809018567639257,0.0,1248.66,104.055,1248.66,6.06,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:40:12-03:00
120237706892140476,WL408_ComSegurança2026_VAR2_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Product_NA_Informative_Medication_Efficacy_ImprovedHealth_StaticScrappy,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,862044223304204,36382,529,796.96,532.0,0.014540157220603596,21.905337804408774,1.5065406427221173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,21.0,3.0,3.0,0.6616541353383458,0.0,265.65333333333336,37.950476190476195,265.65333333333336,9.83,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:40:01-03:00
120237802391000476,WL416_MedoDaComida_VAR2_January_BR_VID_FB_PartnershipAd_ContentCreator_Duda_In-house_Informative_NA_Informative_Testimonial_Efficacy_ImprovedHealth_UGC-Influencer,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,ACTIVE,video,VIDEO,2231825627651156,106859,1856,2140.02,1670.0,0.017368682095097277,20.02657707820586,1.1530280172413794,0.6100281679596478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0,0.0,18.0,3.0,3.0,0.6568862275449102,0.0,713.34,118.89,713.34,8.12,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-27 10:05:37-03:00
120237802404630476,WL413_AlimentacaoNoProcesso_VAR4_January_BR_VID_FB_PartnershipAd_ContentCreator_MaluNeves_In-house_Informative_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_UGC-Influencer,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,video,VIDEO,862510406597061,101311,4255,2333.24,4167.0,0.04199938802301823,23.03047053133421,0.548352526439483,0.6916030835743404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2686.0,0.0,39.0,2.0,2.0,0.6445884329253659,0.0,1166.62,59.82666666666666,1166.62,6.38,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-27 10:05:37-03:00
120237802404640476,WL412_AlimentacaoNoProcesso_VAR2_January_BR_VID_FB_PartnershipAd_ContentCreator_MaluNeves_In-house_Informative_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_UGC-Influencer,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,ACTIVE,video,VIDEO,1425600129010037,112850,4879,2615.77,3483.0,0.04323438192290651,23.179175897208683,0.5361283049805288,0.602197607443509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110.0,0.0,17.0,0.0,0.0,0.60579959804766,0.0,0.0,153.86882352941177,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-27 10:05:37-03:00
120237803979550476,WL417_MedoAcompanhamentoVoy_VAR4_January_BR_VID_FB_PartnershipAd_ContentCreator_Duda_In-house_Informative_NA_Informative_Testimonial_Care_ImprovedHealth_UGC-Influencer,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,ACTIVE,video,VIDEO,1316079763872683,203186,2575,4499.32,2254.0,0.012673117242329689,22.143848493498567,1.7473087378640775,0.5636411957516758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,0.0,53.0,5.0,5.0,0.6330967169476486,0.0,899.8639999999999,84.89283018867924,899.8639999999999,7.4,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-27 11:35:28-03:00
120237266447640476,WL310_NutriIncluso_VAR2_December_BR_VID_FB_PartnershipAd_ContentCreator_BetaBoechat_CreatorMade_Confidence_NA_Emotional_Testimonial_Care_ImprovedQualityOfLife_UGC-Influencer,120237266447660476,Voy_WL_Acquisition,WL_Testing_25_65+_W&M_SUL_SUDESTE,PAUSED,video,VIDEO,845877214878542,826434,9449,14720.71,4707.0,0.011433459901214133,17.812323791131536,1.5579119483543231,0.7400857176737646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432.0,0.0,569.0,46.0,46.0,0.7291268323773104,0.0,320.0154347826087,25.871195079086114,320.0154347826087,9.63,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-09 20:49:39-03:00
120237267146520476,WL350_GerenciarTodaSuaJornada_VAR1_December_BR_VID_FB_PartnershipAd_ContentCreator_BiaRelva_CreatorMade_Process_NA_Informative_Medication_Affordability_ImprovedQualityOfLife_UGC-Influencer,120237266447660476,Voy_WL_Acquisition,WL_Testing_25_65+_W&M_SUL_SUDESTE,PAUSED,video,VIDEO,1972143136992900,71153,633,2028.72,513.0,0.008896322010315798,28.512079603108795,3.204928909952607,0.5348193329866625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,55.0,6.0,6.0,0.50682261208577,0.0,338.12,36.88581818181818,338.12,9.56,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-09 20:49:48-03:00
120237292552120476,WL400_ADS-9_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Product_NA,120237266447660476,Voy_WL_Acquisition,WL_Testing_New_18_54_W&M_SUL_SUDESTE,ADSET_PAUSED,image,SHARE,25907691148842918,9118,38,304.09,18.0,0.004167580609782847,33.350515463917525,8.002368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,0.7777777777777778,0.0,0.0,38.01125,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-10 12:37:06-03:00
120237292552140476,WL400_ADS-21_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Product_NA,120237266447660476,Voy_WL_Acquisition,WL_Testing_New_18_54_W&M_SUL_SUDESTE,ADSET_PAUSED,image,SHARE,1400800211548523,202074,1124,4572.6,768.0,0.005562318754515672,22.628344071973633,4.068149466192171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,167.0,13.0,13.0,0.7486979166666666,0.0,351.7384615384616,27.380838323353295,351.7384615384616,9.5,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-10 12:37:06-03:00
