ad_id,ad_name_std,campaign_id,campaign_name_std,adset_name_std,effective_status,media_type,object_type,creative_id,impressions_std,clicks_std,spend_std,link_clicks_std,ctr,cpm_calc,cpc_calc,hook_rate,video_p25,video_p50,video_p75,video_p100,retention_25_to_50,retention_50_to_75,retention_75_to_100,lpv_inc,questionnaire_started_inc,inc_initiate_checkout,inc_purchase,purchase_std,connect_rate,bounce_rate,cac,cost_per_checkout,cpp_std,performance_score,pause_reason,is_top5,w_ctr,w_connect_rate,w_bounce_rate,w_cost_per_checkout,w_cac,w_hook_rate,created_dt
120237704962430476,WL400_23kgEm1Ano_VAR2_January_BR_IMG_FB_Normal_NA_Nathalie_Striker_Product_NA,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1469630311459977,18313,1287,252.87,212.0,0.07027794462949817,13.80822366624802,0.19648018648018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,15.0,2.0,2.0,0.3490566037735849,0.0,126.435,16.858,126.435,9.68,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 18:51:54-03:00
120237705410940476,WL402_MembrosdaVoy_VAR1_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Results_NA_Informative_ResearchFactBased_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,816805881408100,36703,502,960.84,426.0,0.013677356074435333,26.178786475220008,1.9140239043824703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,16.0,3.0,3.0,0.7112676056338029,0.0,320.28000000000003,60.0525,320.28000000000003,9.19,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 19:16:42-03:00
120237705414500476,WL400_ADS18_VAR3_January_BR_IMG_FB_Normal_NA_Nathalie_Striker_Product_NA,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1597375831276683,9893,68,122.31,58.0,0.006873546952390579,12.363287172748407,1.7986764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,21.0,5.0,5.0,0.7586206896551724,0.0,24.462,5.824285714285715,24.462,9.94,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 19:16:42-03:00
120237705507990476,WL403_ResultadosqueRefletem_VAR2_January_BR_IMG_FB_Normal_NA_NoActor_Striker_Results_NA_Informative_SpecificValueProp_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,CAMPAIGN_PAUSED,image,SHARE,896060369548262,40201,749,736.49,756.0,0.018631377328922165,18.32019104002388,0.9832977303070761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,5.0,0.0,0.0,0.6997354497354498,0.0,0.0,147.298,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 19:39:33-03:00
120237705838970476,WL404_Rebeca16kg_VAR1_January_BR_IMG_FB_Normal_ContentCreator_Rebeca_Striker_Results_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,883529234299787,28893,315,935.28,274.0,0.010902294673450316,32.370470356141624,2.969142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,9.0,0.0,0.0,0.6751824817518248,0.0,0.0,103.92,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 19:53:46-03:00
120237705878220476,WL405_TucaComplicado_VAR1_January_BR_IMG_FB_Normal_Expert_Tuca_Striker_Confidence_NA_Informative_SpecificValueProp_Ease_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1677543066567228,20955,229,527.25,220.0,0.01092817943211644,25.161059413027917,2.302401746724891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,5.0,2.0,2.0,0.6909090909090909,0.0,263.625,105.45,263.625,9.33,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:03:28-03:00
120237706034790476,WL406_15kg3mesesAbravanel_VAR3_January_BR_IMG_FB_Normal_ContentCreator_TiagoAbravanel_Striker_Results_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,CAMPAIGN_PAUSED,image,SHARE,2673538336340221,197136,1444,4654.39,1022.0,0.007324892460027595,23.61004585666748,3.223261772853186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,0.0,60.0,5.0,5.0,0.7221135029354208,0.0,930.878,77.57316666666667,930.878,7.63,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:08:52-03:00
120237706232320476,WL406_15kg3mesesAbravanel_VAR4_January_BR_IMG_FB_Normal_ContentCreator_TiagoAbravanel_Striker_Results_NA_Informative_BeforeAfter_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,PAUSED,image,SHARE,1395341149046749,18587,146,498.3,137.0,0.007854952386076289,26.809060095765858,3.413013698630137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,1.0,0.0,0.0,0.6277372262773723,0.0,0.0,498.3,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:12:14-03:00
120237706259320476,WL406_AmandaComplicado_VAR1_January_BR_IMG_FB_Normal_Expert_AmandaMineiro_Striker_Confidence_NA_Informative_SpecificValueProp_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,CAMPAIGN_PAUSED,image,SHARE,33358572180457282,39126,820,849.23,861.0,0.020957930787711496,21.70500434493687,1.0356463414634147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,8.0,1.0,1.0,0.6631823461091754,0.0,849.23,106.15375,849.23,7.84,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:17:51-03:00
120237706324620476,WL406_AmandaComplicado_VAR2_January_BR_IMG_FB_Normal_Expert_AmandaMineiro_Striker_Confidence_NA_Informative_SpecificValueProp_Efficacy_ImprovedHealth_StaticPolished-Lifestyle,120237701076640476,Voy_WL_Acquisition_Testing,WL_Testing-2_25_65+_W&M_SUL_SUDESTE,CAMPAIGN_PAUSED,image,SHARE,2616215692106498,49364,521,1441.89,451.0,0.010554250060773034,29.209342840936714,2.7675431861804225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,23.0,0.0,0.0,0.647450110864745,0.0,0.0,62.6908695652174,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-01-23 20:21:56-03:00
