ad_id,ad_name_std,campaign_id,campaign_name_std,adset_name_std,effective_status,media_type,object_type,creative_id,impressions_std,clicks_std,spend_std,link_clicks_std,ctr,cpm_calc,cpc_calc,hook_rate,video_p25,video_p50,video_p75,video_p100,retention_25_to_50,retention_50_to_75,retention_75_to_100,lpv_inc,questionnaire_started_inc,inc_initiate_checkout,inc_purchase,purchase_std,connect_rate,bounce_rate,cac,cost_per_checkout,cpp_std,performance_score,pause_reason,is_top5,w_ctr,w_connect_rate,w_bounce_rate,w_cost_per_checkout,w_cac,w_hook_rate,created_dt
120239284051240476,WL476_NovoPreço_VAR1_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,1239032445025468,1152,8,91.64,8.0,0.006944444444444444,79.54861111111111,11.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,45.82,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
120239284312280476,WL477_NovoPreço_VAR2_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,934602962359985,6313,84,356.19,81.0,0.013305876762236655,56.42166957072707,4.2403571428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,14.0,3.0,3.0,0.9382716049382716,0.0,118.73,25.44214285714286,118.73,9.63,,True,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
120239284340160476,WL478_NovoPreço_VAR3_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,923937453669105,15077,195,501.58,181.0,0.012933607481594481,33.26789149034954,2.572205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,31.0,5.0,5.0,0.9834254143646409,0.0,100.316,16.18,100.316,9.71,,True,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
120239284513270476,WL479_NovoPreço_VAR4_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,1242644974077362,281,4,13.15,2.0,0.014234875444839857,46.79715302491103,3.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
120239284660340476,WL480_NovoPreço_VAR5_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,1642137546818383,18489,273,651.26,233.0,0.014765536264806102,35.2241873546433,2.3855677655677656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,30.0,3.0,3.0,0.8540772532188842,0.0,217.08666666666667,21.708666666666666,217.08666666666667,9.2,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
120239284750970476,WL481_NovoPreço_VAR6_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,1248488664050730,92746,1238,2501.31,1022.0,0.013348284562137451,26.9694649904039,2.0204442649434573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.0,0.0,162.0,20.0,20.0,1.1046966731898238,0.0,125.0655,15.440185185185184,125.0655,9.6,,True,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
120239284841330476,WL483_NovoPreço_VAR8_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,1406354410780845,413,3,32.83,2.0,0.007263922518159807,79.49152542372882,10.943333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,32.83,32.83,32.83,10.0,,True,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
120239284998960476,WL484_NovoPreço_VAR9_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,1945134882787984,1053,9,58.16,8.0,0.008547008547008548,55.2326685660019,6.462222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,1.0,0.875,0.0,58.16,29.08,58.16,9.89,,True,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
120239285205050476,WL485_NovoPreço_VAR10_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,923553333595870,34,1,2.65,1.0,0.029411764705882353,77.94117647058823,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,inf,0.0,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
120239285321870476,WL486_NovoPreço_VAR11_March_BR_IMG_FB_Normal_NA_NoActor_Striker_Informative_Informative_Offer_Affordability_ImprovedHealth_StaticPolished-Lifestyle,120239283225230476,Voy_WL_Acquisition_Testing_New,WL_Testing_NovoPreço_25_65+_W&M_SUL_SUDESTE,ACTIVE,image,SHARE,26609752891962414,176457,2470,4884.78,2098.0,0.013997744492992627,27.68255155646985,1.977643724696356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.0,0.0,354.0,34.0,34.0,0.9652049571020019,0.0,143.67,13.798813559322033,143.67,9.52,,False,0.0,0.0,0.0,0.0,10.0,0.0,2026-03-06 13:24:22-03:00
